label,text
Legitimate Mail,Lol your always so convincing.
Legitimate Mail,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
Legitimate Mail,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
Legitimate Mail,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
Legitimate Mail,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
Legitimate Mail,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
Legitimate Mail,K tell me anything about you.
Legitimate Mail,For fear of fainting with the of all that housework you just did? Quick have a cuppa
Phishing Mail,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
Legitimate Mail,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
Legitimate Mail,"Oops, I'll let you know when my roommate's done"
Legitimate Mail,I see the letter B on my car
Legitimate Mail,Anything lor... U decide...
Legitimate Mail,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
Legitimate Mail,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
Legitimate Mail,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
Phishing Mail,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
Legitimate Mail,WHO ARE YOU SEEING?
Legitimate Mail,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
Legitimate Mail,No calls..messages..missed calls
Legitimate Mail,Didn't you get hep b immunisation in nigeria.
Legitimate Mail,"Fair enough, anything going on?"
Legitimate Mail,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
Legitimate Mail,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
Legitimate Mail,What you thinked about me. First time you saw me in class.
Legitimate Mail,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
Legitimate Mail,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
Legitimate Mail,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
Phishing Mail,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
Legitimate Mail,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
Phishing Mail,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
Legitimate Mail,"Sorry, I'll call later in meeting."
Legitimate Mail,Tell where you reached
Legitimate Mail,Yes..gauti and sehwag out of odi series.
Legitimate Mail,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
Legitimate Mail,Ha ha ha good joke. Girls are situation seekers.
Legitimate Mail,Its a part of checking IQ
Legitimate Mail,"Sorry my roommates took forever, it ok if I come by now?"
Legitimate Mail,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
Phishing Mail,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
Legitimate Mail,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
Phishing Mail,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
Phishing Mail,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
Legitimate Mail,I plane to give on this month end.
Legitimate Mail,Wah lucky man... Then can save money... Hee...
Legitimate Mail,Finished class where are you.
Legitimate Mail,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
Legitimate Mail,K..k:)where are you?how did you performed?
Legitimate Mail,U can call me now...
Legitimate Mail,I am waiting machan. Call me once you free.
Legitimate Mail,Thats cool. i am a gentleman and will treat you with dignity and respect.
Legitimate Mail,I like you peoples very much:) but am very shy pa.
Legitimate Mail,Does not operate after  &lt;#&gt;  or what
Legitimate Mail,Its not the same here. Still looking for a job. How much do Ta's earn there.
Legitimate Mail,"Sorry, I'll call later"
Legitimate Mail,K. Did you call me just now ah?
Legitimate Mail,Ok i am on the way to home hi hi
Legitimate Mail,You will be in the place of that man
Legitimate Mail,Yup next stop.
Legitimate Mail,"I call you later, don't have network. If urgnt, sms me."
Legitimate Mail,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
Legitimate Mail,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
Legitimate Mail,I'm really not up to it still tonight babe
Legitimate Mail,"Ela kano.,il download, come wen ur free.."
Legitimate Mail,Yeah do! Don‘t stand to close tho- you‘ll catch something!
Legitimate Mail,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.
Legitimate Mail,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
Phishing Mail,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
Legitimate Mail,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
Phishing Mail,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
Legitimate Mail,Watching telugu movie..wat abt u?
Legitimate Mail,i see. When we finish we have loads of loans to pay
Legitimate Mail,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
Legitimate Mail,I see a cup of coffee animation
Legitimate Mail,Please don't text me anymore. I have nothing else to say.
Legitimate Mail,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
Legitimate Mail,I'm still looking for a car to buy. And have not gone 4the driving test yet.
Legitimate Mail,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
Legitimate Mail,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
Legitimate Mail,Umma my life and vava umma love you lot dear
Legitimate Mail,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
Legitimate Mail,"Aight, I'll hit you up when I get some cash"
Legitimate Mail,How would my ip address test that considering my computer isn't a minecraft server
Legitimate Mail,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
Legitimate Mail,Dont worry. I guess he's busy.
Legitimate Mail,What is the plural of the noun research?
Legitimate Mail,Going for dinner.msg you after.
Legitimate Mail,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
Phishing Mail,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
Legitimate Mail,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
Legitimate Mail,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
Phishing Mail,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)
Legitimate Mail,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!
Legitimate Mail,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
Phishing Mail,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
Phishing Mail,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
Legitimate Mail,here is my new address -apples&pairs&all that malarky
Phishing Mail,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
Legitimate Mail,I am going to sao mu today. Will be done only at 12
Legitimate Mail,Ü predict wat time ü'll finish buying?
Legitimate Mail,"Good stuff, will do."
Legitimate Mail,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
Legitimate Mail,Are you there in room.
Legitimate Mail,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
Legitimate Mail,K..k:)how much does it cost?
Legitimate Mail,I'm home.
Legitimate Mail,"Dear, will call Tmorrow.pls accomodate."
Legitimate Mail,First answer my question.
Phishing Mail,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
Phishing Mail,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
Legitimate Mail,I only haf msn. It's yijue@hotmail.com
Legitimate Mail,He is there. You call and meet him
Legitimate Mail,No no. I will check all rooms befor activities
Phishing Mail,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
Legitimate Mail,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
Legitimate Mail,"K, text me when you're on the way"
Legitimate Mail,"Sir, Waiting for your mail."
Legitimate Mail,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"
Legitimate Mail,I know you are. Can you pls open the back?
Legitimate Mail,Yes see ya not on the dot
Legitimate Mail,Whats the staff name who is taking class for us?
Phishing Mail,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
Legitimate Mail,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
Legitimate Mail,K..i deleted my contact that why?
Legitimate Mail,Sindu got job in birla soft ..
Legitimate Mail,The wine is flowing and i'm i have nevering..
Legitimate Mail,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
Legitimate Mail,Ok... Ur typical reply...
Legitimate Mail,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
Legitimate Mail,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
Legitimate Mail,Aaooooright are you at work?
Legitimate Mail,I'm leaving my house now...
Legitimate Mail,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?"
Phishing Mail,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
Phishing Mail,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
Legitimate Mail,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
Legitimate Mail,New car and house for my parents.:)i have only new job in hand:)
Legitimate Mail,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
Phishing Mail,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
Phishing Mail,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
Legitimate Mail,I place all ur points on e cultures module already.
Phishing Mail,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
Legitimate Mail,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
Legitimate Mail,Great escape. I fancy the bridge but needs her lager. See you tomo
Legitimate Mail,Yes :)it completely in out of form:)clark also utter waste.
Legitimate Mail,"Sir, I need AXIS BANK account no and bank address."
Legitimate Mail,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
Legitimate Mail,What time you coming down later?
Legitimate Mail,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
Legitimate Mail,"Well, i'm gonna finish my bath now. Have a good...fine night."
Legitimate Mail,Let me know when you've got the money so carlos can make the call
Legitimate Mail,U still going to the mall?
Legitimate Mail,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
Legitimate Mail,Text her. If she doesnt reply let me know so i can have her log in
Legitimate Mail,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
Legitimate Mail,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
Legitimate Mail,Lol no. U can trust me.
Legitimate Mail,ok. I am a gentleman and will treat you with dignity and respect.
Legitimate Mail,"He will, you guys close?"
Legitimate Mail,Going on nothing great.bye
Legitimate Mail,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
Legitimate Mail,"Haha awesome, be there in a minute"
Phishing Mail,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
Legitimate Mail,Have you got Xmas radio times. If not i will get it now
Legitimate Mail,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
Phishing Mail,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
Legitimate Mail,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
Legitimate Mail,Hi :)finally i completed the course:)
Legitimate Mail,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
Legitimate Mail,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
Legitimate Mail,Gud mrng dear hav a nice day
Legitimate Mail,Did u got that persons story
Legitimate Mail,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
Legitimate Mail,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
Legitimate Mail,"Found it, ENC  &lt;#&gt; , where you at?"
Legitimate Mail,I sent you  &lt;#&gt;  bucks
Legitimate Mail,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
Legitimate Mail,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
Legitimate Mail,Goodmorning sleeping ga.
Legitimate Mail,U call me alter at 11 ok.
Legitimate Mail,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
Legitimate Mail,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
Legitimate Mail,"Aight yo, dats straight dogg"
Legitimate Mail,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
Legitimate Mail,Both :) i shoot big loads so get ready!
Legitimate Mail,"What's up bruv, hope you had a great break. Do have a rewarding semester."
Legitimate Mail,Home so we can always chat
Legitimate Mail,K:)k:)good:)study well.
Legitimate Mail,Yup... How ü noe leh...
Legitimate Mail,Sounds great! Are you home now?
Legitimate Mail,Finally the match heading towards draw as your prediction.
Legitimate Mail,Tired. I haven't slept well the past few nights.
Legitimate Mail,Easy ah?sen got selected means its good..
Legitimate Mail,I have to take exam with march 3
Legitimate Mail,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
Legitimate Mail,Ok no prob. Take ur time.
Legitimate Mail,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
Legitimate Mail,"Sorry, I'll call later"
Legitimate Mail,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
Phishing Mail,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
Legitimate Mail,Would really appreciate if you call me. Just need someone to talk to.
Phishing Mail,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
Legitimate Mail,Hey company elama po mudyadhu.
Legitimate Mail,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
Legitimate Mail,Dear good morning now only i am up
Legitimate Mail,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
Legitimate Mail,Dear we are going to our rubber place
Legitimate Mail,"Sorry battery died, yeah I'm here"
Legitimate Mail,Yes:)here tv is always available in work place..
Phishing Mail,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
Legitimate Mail,I have printed it oh. So  &lt;#&gt;  come upstairs
Legitimate Mail,Or ill be a little closer like at the bus stop on the same street
Legitimate Mail,Where are you?when wil you reach here?
Legitimate Mail,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
Phishing Mail,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
Legitimate Mail,Tomarrow final hearing on my laptop case so i cant.
Legitimate Mail,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
Legitimate Mail,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
Legitimate Mail,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
Legitimate Mail,U don't remember that old commercial?
Legitimate Mail,Too late. I said i have the website. I didn't i have or dont have the slippers
Legitimate Mail,I asked you to call him now ok
Legitimate Mail,Kallis wont bat in 2nd innings.
Legitimate Mail,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.
Phishing Mail,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
Legitimate Mail,Ranjith cal drpd Deeraj and deepak 5min hold
Legitimate Mail,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
Legitimate Mail,What you doing?how are you?
Legitimate Mail,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
Legitimate Mail,"I'm back, lemme know when you're ready"
Legitimate Mail,Don't necessarily expect it to be done before you get back though because I'm just now headin out
Legitimate Mail,Mmm so yummy babe ... Nice jolt to the suzy
Legitimate Mail,Where are you lover ? I need you ...
Phishing Mail,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
Legitimate Mail,I‘m parked next to a MINI!!!! When are you coming in today do you think?
Legitimate Mail,Yup
Legitimate Mail,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
Legitimate Mail,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
Phishing Mail,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
Legitimate Mail,Why you Dint come with us.
Legitimate Mail,Same. Wana plan a trip sometme then
Legitimate Mail,"Not sure yet, still trying to get a hold of him"
Phishing Mail,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
Legitimate Mail,The evo. I just had to download flash. Jealous?
Phishing Mail,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
Legitimate Mail,"Come to mu, we're sorting out our narcotics situation"
Legitimate Mail,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay."
Phishing Mail,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
Legitimate Mail,"Usf I guess, might as well take 1 car"
Legitimate Mail,No objection. My bf not coming.
Legitimate Mail,Thanx...
Legitimate Mail,Tell rob to mack his gf in the theater
Legitimate Mail,"Awesome, I'll see you in a bit"
Legitimate Mail,Just sent it. So what type of food do you like?
Legitimate Mail,All done? All handed in? Celebrations in full swing yet?
Legitimate Mail,You got called a tool?
Legitimate Mail,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
Legitimate Mail,Ok. I asked for money how far
Legitimate Mail,Okie...
Legitimate Mail,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
Legitimate Mail,"K, I might come by tonight then if my class lets out early"
Legitimate Mail,Ok..
Legitimate Mail,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
Legitimate Mail,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
Legitimate Mail,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
Legitimate Mail,Hey you told your name to gautham ah?
Legitimate Mail,Haf u found him? I feel so stupid da v cam was working.
Legitimate Mail,Oops. 4 got that bit.
Legitimate Mail,Are you this much buzy
Legitimate Mail,I accidentally deleted the message. Resend please.
Phishing Mail,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
Legitimate Mail,Unless it's a situation where YOU GO GURL would be more appropriate
Legitimate Mail,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
Legitimate Mail,I cant pick the phone right now. Pls send a message
Legitimate Mail,Need a coffee run tomo?Can't believe it's that time of week already
Legitimate Mail,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
Legitimate Mail,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
Legitimate Mail,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?
Legitimate Mail,He is a womdarfull actor
Phishing Mail,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
Legitimate Mail,Yup... From what i remb... I think should be can book...
Legitimate Mail,Jos ask if u wana meet up?
Legitimate Mail,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.
Phishing Mail,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
Legitimate Mail,Where are the garage keys? They aren't on the bookshelf
Legitimate Mail,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
Phishing Mail,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
Legitimate Mail,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
Legitimate Mail,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost."
Legitimate Mail,You made my day. Do have a great day too.
Legitimate Mail,K.k:)advance happy pongal.
Legitimate Mail,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao..."
Legitimate Mail,"Not really dude, have no friends i'm afraid :("
Phishing Mail,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
Legitimate Mail,"Coffee cake, i guess..."
Legitimate Mail,"Merry Christmas to you too babe, i love ya *kisses*"
